index	Neme	Életkora	Gyermeke	Isk	Anyagi	PÉlmény%	Testi-Fi	ÁltLelki	ÁltEgÁll	Fizerõ	Arcocska	Aggodalo	Ideges	Feszült	Nyugtala	Diener1	Diener2	Diener3	Diener4	Diener5	Diener6	Diener7	Diener8	Jóllét	Savor	AVhat	Önreg	Rezil	M_Flow	GJérz	GJpszi	GJszoc	GJspir	GJérzpsz	GJspszoc	PIK_MM	PIK_AV	PIK_Önr	PIK_Rez	PPozÉrz	PElmély	PPozKapc	PÉrtCél	PTelj	PBoldog	PEgészs	PNegÉrz	PMagány	PERMA
3	2	32	1	3	3	90	5	5	5	5	1	1	1	1	1	7	6	6	6	6	6	7	6	6	6	5.4	3.6667	6	6	4.6	4	4	4.25	4.3	4.125	4	3.75	3	3	26	23	21	27	25	9	26	4	7	186
4	2	43	0	3	3	50	4	4	4	4	3	4	4	4	4	6	6	6	5	6	5	5	5	5	5	4.2	3.3333	3.6667	4.6667	4.4	4.75	4	4	4.575	4	2.8333	2.5	3	2.6667	25	23	25	24	23	9	19	17	1	170
8	2	48	0	2	3	80	6	3	6	6	3	4	4	4	4	6	6	5	6	6	6	6	6	4.6667	4.6667	5.4	2.3333	3.6667	3.6667	4	3.75	2.75	3.25	3.875	3	3.1667	2.75	2.3333	2	23	18	13	19	20	6	29	25	9	134
25	2	42	2	4	3	20	4	4	4	4	3	5	5	5	3	5	4	5	5	6	5	5	5	3.6667	5	5.4	2.6667	2.6667	4.3333	3.4	4	3.25	4.25	3.7	3.75	2.5	3.75	1.6667	2.6667	15	16	16	27	24	7	27	21	0	151
28	2	35	0	3	2	40	3	3	3	3	3	2	2	2	3	4	5	4	5	5	5	5	5	4.3333	4	4	4.3333	4	3.6667	4	3.5	4.25	3.25	3.75	3.75	3.1667	3	3.6667	3.3333	22	19	24	19	21	7	16	11	4	153
30	2	53	2	2	2	70	5	4	5	5	1	4	1	2	1	6	6	6	7	7	6	7	7	5	6	5.8	6	5.3333	5.3333	4.6	4.75	4.75	5.5	4.675	5.125	4	4	4	3.6667	23	26	29	18	23	8	26	3	5	185
41	1	47	4	2	2	80	4	5	4	4	1	1	1	2	1	4	5	6	6	6	6	7	3	4.6667	5.6667	4.4	1.3333	4	4.3333	2.6	2.5	4.25	3.25	2.55	3.75	2.6667	2.5	1.6667	3.3333	23	18	19	25	28	5	23	13	8	160
54	2	32	2	3	4	90	4	4		4	1	2	2	2	1	5	5	6	6	5	6	6	5	5	5	3.8	2.6667	3.6667	5	4	3.25	3.25	3.5	3.625	3.375	2.6667	2	2.6667	3.3333	24	25	24	25	22	8	24	8	0	184
57	2	59	2	3	3	50	5	3	5	5	4	4	4	4	4	4	4	6	6	6	6	6	6	3.3333	5.3333	4.4	5.3333	1.6667	5.3333	3.4	4.25	2	2.25	3.825	2.125	2.5	2.5	4	4	21	24	19	18	24	5	27	8	0	170
60	2	45	2	2	3	50	5	4	5	6	3	4	4	4	4	6	6	6	7	7	7	7	7	4.3333	2	5.2	5.6667	5	5	6	4	6	6	5	6	3.3333	4	4	3	26	27	22	19	19	6	24	16	10	157
62	2	57	3	2	3	80	4	4	4	4	1	1	1	1	1	6	6	6	5	5	6	5	6	5	4.6667	4	3.3333	3.6667	4.3333	5.2	5	4	3.5	5.1	3.75	2.8333	3.25	3	3.6667	27	27	29	27	24	10	25	4	0	205
65	1	48	1	2	3	80	5	5	4	5	2	1	1	1	2	6	5	6	5	7	6	6	5	5	1.6667	6	3.6667	5	5.6667	4.6	5.75	3	2.25	5.175	2.625	3.6667	4	3	3	27	27	23	30	30	9	27	9	0	204
67	2	58	2	3	3	60	4	4	4	4	3	5	4	4	4	6	6	6	5	6	6	5	6	4.3333	4.6667	4.6	4	3.3333	4.6667	3.6	4.25	4.5	4.75	3.925	4.625	3.1667	3	3.3333	2.6667	19	21	20	22	23	7	19	16	4	151
70	2	36	3	4	4	30	3	4	2	4	3	5	5	6	2	7	6	6	7	5	7	5	5	4.6667	5.3333	5.6	4	2.6667	5	4.2	5	4.75	4.5	4.6	4.625	3	3.5	3	3.3333	21	26	25	28	25	8	15	11	4	173
76	2	45	1	3	4	20	3	3	3	3	5	5	5	5	5	2	4	3	2	2	2	2	3	2	2	2.2	1	2.3333	3	2	2	2.5	2	2	2.25	2	2.25	1	1.3333	7	18	17	14	12	4	10	22	3	97
80	2	55	2	2	3	50		4	4	4	2	3	2	2	2	6	6	6	6	6	6	6	6	5	6	5.4	5.3333	5.3333	6	4.8	5	2.5	3	4.9	2.75	3.6667	4	4	4	26	18	25	27	29	9	27	4	1	196
92	1	65	0	3	3	50	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	3.3333	3.3333	3.2	5.3333	3.6667	4	4	4	4	4	4	4	2.3333	2	3.6667	3	21	14	21	21	19	8	22	10	6	150
