id,age,sex,story_id,test_type,story,mist,sit,Factors
1,21,Nő,1,baq,Néha reggel időre kell beérnem.,3,1,PlanningError
1,21,Nő,2,baq,Néha pénzügyeket intézek.,2,1,Inattention
1,21,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,2,1,PlanningError
1,21,Nő,4,baq,Néha hivatalos ügyet intézek.,2,1,Inattention
1,21,Nő,5,baq,Néha sétálok.,2,1,Inattention
1,21,Nő,6,baq,Néha értéktárgyak vannak nálam.,3,1,Dropped
1,21,Nő,7,baq,Néha vezetek.,1,1,Dropped
1,21,Nő,8,baq,Néha időre oda kell érnem valahova.,2,1,Dropped
1,21,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,1,1,Dropped
1,21,Nő,10,baq,Néha sok feladatom van.,4,1,PlanningError
1,21,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,1,Dropped
1,21,Nő,12,baq,Néha kulcsot kell magammal vinnem.,1,1,Dropped
1,21,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,2,1,Dropped
1,21,Nő,14,baq,Néha magammal kell vinnem a bérletem.,2,1,Dropped
1,21,Nő,15,baq,Általában időre kell befizetnem számlákat.,1,1,Dropped
1,21,Nő,16,baq,Néha időre kell odaérnem valahova.,2,1,Dropped
1,21,Nő,17,baq,Néha valamit meg kell tanulnom.,2,1,PlanningError
1,21,Nő,18,baq,Néha ruhát vásárolok.,2,1,Dropped
1,21,Nő,19,baq,Néha vitatkozom emberekkel.,1,1,Dropped
1,21,Nő,20,baq,Néha találkozom új emberekkel.,2,1,Dropped
1,21,Nő,21,baq,Néha fontos megjelennem valahol.,3,1,Dropped
1,21,Nő,22,baq,Néha főzök vagy sütök valamit.,2,1,Dropped
1,21,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,2,1,Dropped
1,21,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,Dropped
1,21,Nő,25,baq,Néha tömegközlekedéssel utazom.,2,1,Inattention
1,21,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,Dropped
1,21,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,2,1,Inattention
2,20,Nő,1,baq,Néha reggel időre kell beérnem.,1,1,PlanningError
2,20,Nő,2,baq,Néha pénzügyeket intézek.,1,1,Inattention
2,20,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,PlanningError
2,20,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,Inattention
2,20,Nő,5,baq,Néha sétálok.,1,1,Inattention
2,20,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,Dropped
2,20,Nő,7,baq,Néha vezetek.,1,1,Dropped
2,20,Nő,8,baq,Néha időre oda kell érnem valahova.,1,1,Dropped
2,20,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,1,1,Dropped
2,20,Nő,10,baq,Néha sok feladatom van.,2,1,PlanningError
2,20,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,2,1,Dropped
2,20,Nő,12,baq,Néha kulcsot kell magammal vinnem.,NA,0,Dropped
2,20,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,Dropped
2,20,Nő,14,baq,Néha magammal kell vinnem a bérletem.,1,1,Dropped
2,20,Nő,15,baq,Általában időre kell befizetnem számlákat.,NA,0,Dropped
2,20,Nő,16,baq,Néha időre kell odaérnem valahova.,1,1,Dropped
2,20,Nő,17,baq,Néha valamit meg kell tanulnom.,4,1,PlanningError
2,20,Nő,18,baq,Néha ruhát vásárolok.,1,1,Dropped
2,20,Nő,19,baq,Néha vitatkozom emberekkel.,1,1,Dropped
2,20,Nő,20,baq,Néha találkozom új emberekkel.,2,1,Dropped
2,20,Nő,21,baq,Néha fontos megjelennem valahol.,1,1,Dropped
2,20,Nő,22,baq,Néha főzök vagy sütök valamit.,1,1,Dropped
2,20,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,1,1,Dropped
2,20,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,Dropped
2,20,Nő,25,baq,Néha tömegközlekedéssel utazom.,1,1,Inattention
2,20,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,Dropped
2,20,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,1,1,Inattention
3,19,Nő,1,baq,Néha reggel időre kell beérnem.,2,1,PlanningError
3,19,Nő,2,baq,Néha pénzügyeket intézek.,2,1,Inattention
3,19,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,2,1,PlanningError
3,19,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,Inattention
3,19,Nő,5,baq,Néha sétálok.,1,1,Inattention
3,19,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,Dropped
3,19,Nő,7,baq,Néha vezetek.,1,1,Dropped
3,19,Nő,8,baq,Néha időre oda kell érnem valahova.,1,1,Dropped
3,19,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,1,1,Dropped
3,19,Nő,10,baq,Néha sok feladatom van.,4,1,PlanningError
3,19,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,1,Dropped
3,19,Nő,12,baq,Néha kulcsot kell magammal vinnem.,2,1,Dropped
3,19,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,Dropped
3,19,Nő,14,baq,Néha magammal kell vinnem a bérletem.,2,1,Dropped
3,19,Nő,15,baq,Általában időre kell befizetnem számlákat.,1,1,Dropped
3,19,Nő,16,baq,Néha időre kell odaérnem valahova.,1,1,Dropped
3,19,Nő,17,baq,Néha valamit meg kell tanulnom.,2,1,PlanningError
3,19,Nő,18,baq,Néha ruhát vásárolok.,2,1,Dropped
3,19,Nő,19,baq,Néha vitatkozom emberekkel.,3,1,Dropped
3,19,Nő,20,baq,Néha találkozom új emberekkel.,4,1,Dropped
3,19,Nő,21,baq,Néha fontos megjelennem valahol.,2,1,Dropped
3,19,Nő,22,baq,Néha főzök vagy sütök valamit.,1,1,Dropped
3,19,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,2,1,Dropped
3,19,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,Dropped
3,19,Nő,25,baq,Néha tömegközlekedéssel utazom.,1,1,Inattention
3,19,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,2,1,Dropped
3,19,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,1,1,Inattention
4,21,Nő,1,baq,Néha reggel időre kell beérnem.,4,1,PlanningError
4,21,Nő,2,baq,Néha pénzügyeket intézek.,1,1,Inattention
4,21,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,PlanningError
4,21,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,Inattention
4,21,Nő,5,baq,Néha sétálok.,1,1,Inattention
4,21,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,Dropped
4,21,Nő,7,baq,Néha vezetek.,NA,0,Dropped
4,21,Nő,8,baq,Néha időre oda kell érnem valahova.,1,1,Dropped
4,21,Nő,9,baq,Néha napközben értéktárgyak vannak nálam.,1,1,Dropped
4,21,Nő,10,baq,Néha sok feladatom van.,4,1,PlanningError
4,21,Nő,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,1,Dropped
4,21,Nő,12,baq,Néha kulcsot kell magammal vinnem.,1,1,Dropped
4,21,Nő,13,baq,Néha egy fontos találkozóra kell odaérnem.,2,1,Dropped
4,21,Nő,14,baq,Néha magammal kell vinnem a bérletem.,1,1,Dropped
4,21,Nő,15,baq,Általában időre kell befizetnem számlákat.,1,1,Dropped
4,21,Nő,16,baq,Néha időre kell odaérnem valahova.,2,1,Dropped
4,21,Nő,17,baq,Néha valamit meg kell tanulnom.,2,1,PlanningError
4,21,Nő,18,baq,Néha ruhát vásárolok.,1,1,Dropped
4,21,Nő,19,baq,Néha vitatkozom emberekkel.,2,1,Dropped
4,21,Nő,20,baq,Néha találkozom új emberekkel.,1,1,Dropped
4,21,Nő,21,baq,Néha fontos megjelennem valahol.,2,1,Dropped
4,21,Nő,22,baq,Néha főzök vagy sütök valamit.,1,1,Dropped
4,21,Nő,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,2,1,Dropped
4,21,Nő,24,baq,Néha jelentkezési lapot kell beadnom.,2,1,Dropped
4,21,Nő,25,baq,Néha tömegközlekedéssel utazom.,1,1,Inattention
4,21,Nő,26,baq,Néha figyelni kell pénzköltéseimre.,1,1,Dropped
4,21,Nő,27,baq,Néha fontos információkat kell átadni másoknak.,1,1,Inattention
5,22,Nő,1,baq,Néha reggel időre kell beérnem.,2,1,PlanningError
5,22,Nő,2,baq,Néha pénzügyeket intézek.,2,1,Inattention
5,22,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,PlanningError
5,22,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,Inattention
5,22,Nő,5,baq,Néha sétálok.,2,1,Inattention
5,22,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,Dropped
5,22,Nő,7,baq,Néha vezetek.,NA,0,Dropped
