id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,crt_all,Raven_all,aot_all,sds_all
19,23,Nő,4,1.68,1.6,1.75,0,6,62,80
25,24,Nő,9,2.4,1.8,3,1,6,58,81
169,20,Nő,8,3.4,2.8,4,0,10,54,96
64,24,Férfi,4,1.48,1.2,1.75,2,11,64,47
101,19,Nő,8,1.75,1.5,2,1,8,58,76
189,19,Nő,8,3.46,2.6,4.33,3,6,50,79
41,19,Férfi,7,1.92,1.33,2.5,3,11,63,54
112,21,Nő,7,2.62,1.25,4,3,1,63,66
128,33,Férfi,7,1.75,1,2.5,3,8,61,99
160,24,Nő,7,2.55,1.6,3.5,3,12,55,82
104,20,Nő,5,1.98,2.2,1.75,3,8,56,66
88,21,Nő,7,2.52,2.8,2.25,2,7,57,58
83,22,Férfi,8,1.95,1.4,2.5,1,4,49,81
193,21,Nő,10,2.3,1.6,3,0,4,44,80
49,22,Nő,10,2.05,1.6,2.5,3,5,59,82
210,21,Nő,10,1.92,1.6,2.25,1,5,61,89
179,20,Nő,8,1.5,1,2,2,8,47,103
151,18,Nő,6,2.4,1.8,3,0,9,58,69
66,19,Férfi,9,2.83,1.4,4.25,1,9,54,88
20,19,Nő,7,2.15,1.8,2.5,0,2,44,83
78,19,Nő,7,1.25,1.25,1.25,3,8,58,124
214,19,Férfi,9,2.27,1.8,2.75,3,8,65,104
236,21,Nő,8,1.32,1.4,1.25,0,4,61,106
15,20,Nő,6,1.75,1.25,2.25,2,10,51,92
60,20,Nő,8,2.02,1.8,2.25,0,6,64,128
74,27,Nő,5,1.8,1.6,2,3,11,50,78
147,20,Nő,8,1.35,1.2,1.5,0,12,56,106
82,22,Nő,5,1.43,1.6,1.25,0,6,52,88
207,23,Nő,8,1.82,1.4,2.25,1,5,56,111
72,19,Nő,8,1.5,1,2,0,11,60,84
59,21,Férfi,8,2.33,1.4,3.25,3,11,58,77
6,20,Nő,6,1.45,1.4,1.5,0,4,44,95
235,20,Nő,5,2.25,2,2.5,1,10,44,96
181,21,Nő,6,1,1,1,0,4,52,99
146,19,Nő,9,1.23,1.2,1.25,2,5,61,100
99,21,Nő,6,2.12,2,2.25,2,8,56,106
8,25,Nő,8,3.2,2.4,4,3,9,57,76
32,19,Nő,9,2.42,2.33,2.5,0,2,36,108
129,21,Nő,8,1.6,1.2,2,3,3,58,117
231,19,Férfi,6,3.92,3.6,4.25,1,3,43,105
111,22,Nő,7,1.45,1.4,1.5,1,9,60,116
162,23,Nő,7,1.82,1.4,2.25,2,10,64,98
38,19,Nő,8,2.75,2,3.5,1,5,57,79
202,22,Nő,8,2.58,2.4,2.75,0,6,56,84
12,23,Férfi,4,2.15,1.8,2.5,3,5,64,68
18,21,Nő,7,1.1,1.2,1,0,1,58,112
154,22,Nő,8,2,2,2,1,1,45,78
166,24,Nő,6,2.15,1.8,2.5,3,8,53,102
191,21,Nő,8,1.38,1.25,1.5,2,3,51,100
135,21,Nő,9,1.77,1.8,1.75,1,6,57,96
3,19,Nő,7,1.85,1.2,2.5,0,4,59,102
11,21,Nő,5,2.3,1.6,3,0,7,56,106
108,26,Nő,5,1.82,2.4,1.25,1,4,51,90
152,19,Nő,10,1.45,1.4,1.5,0,7,54,113
140,18,Nő,7,1.88,2,1.75,1,2,50,71
130,23,Nő,10,1.73,1.2,2.25,3,5,56,84
119,24,Férfi,7,2.9,2.8,3,3,5,70,89
139,19,Nő,7,2.5,2,3,3,7,60,56
14,22,Nő,8,1.5,1,2,0,7,51,87
94,22,Férfi,6,1.62,1,2.25,1,4,42,104
96,21,Nő,6,2.12,2,2.25,0,2,53,79
177,22,Nő,9,2.27,1.8,2.75,0,8,63,82
69,19,Nő,8,2.58,2.4,2.75,0,6,66,86
9,20,Nő,8,1.32,1.4,1.25,3,9,67,96
57,20,Nő,8,2.35,2.2,2.5,1,6,67,83
149,21,Nő,9,1.1,1.2,1,3,5,60,107
141,22,Nő,8,1.82,1.4,2.25,1,8,54,97
201,20,Nő,7,2.27,1.8,2.75,1,5,56,77
143,23,Nő,7,1.88,1,2.75,3,12,64,69
199,22,Nő,1,1.84,1,2.67,2,9,58,122
173,22,Férfi,5,1.9,1.8,2,2,2,55,105
144,19,Nő,7,2.27,1.8,2.75,1,6,54,82
51,22,Férfi,8,2.12,1.5,2.75,3,12,62,90
200,21,Nő,9,1.38,1.5,1.25,0,6,53,84
68,20,Nő,7,1.6,1.2,2,0,2,59,101
33,22,Férfi,5,1.88,1,2.75,2,12,63,101
220,19,Nő,9,2,1.25,2.75,0,5,61,105
43,24,Nő,8,1.6,1.2,2,1,5,54,101
124,20,Férfi,7,1.45,1.4,1.5,3,8,60,85
234,22,Férfi,8,2,1,3,2,7,53,69
117,20,Nő,7,2.35,2.2,2.5,0,6,52,89
76,21,Nő,9,2.23,1.2,3.25,2,11,62,106
48,24,Nő,6,1.45,1.4,1.5,1,9,56,81
215,22,Férfi,5,1.45,1.4,1.5,1,1,54,69
165,20,Nő,6,1.65,1.8,1.5,0,8,54,83
46,20,Nő,8,3.42,2.6,4.25,2,4,55,69
156,20,Férfi,6,3.08,2.4,3.75,2,5,65,85
216,21,Nő,7,1.12,1,1.25,1,6,67,116
79,19,Férfi,6,3,2,4,2,7,66,92
103,21,Nő,6,2.6,2.2,3,0,8,60,80
105,23,Nő,6,1,1,1,0,5,44,80
225,21,Nő,8,1.6,1.2,2,0,9,60,101
73,22,Nő,7,1.66,1.33,2,3,9,58,96
77,22,Férfi,7,1.88,1.75,2,3,12,64,101
27,21,Férfi,7,2.83,2.4,3.25,1,5,46,69
16,19,Nő,6,1.88,1.5,2.25,3,9,65,86
61,22,Nő,8,1.71,1.67,1.75,1,3,50,101
206,24,Nő,7,2.2,1.4,3,3,10,50,94
192,20,Nő,7,1.8,1.6,2,0,7,51,92
30,22,Nő,7,2.83,2.4,3.25,2,5,63,105
31,20,Nő,7,2.23,2.2,2.25,0,6,59,61
114,24,Férfi,9,1.5,1.5,1.5,2,8,66,113
100,21,Férfi,7,3.12,2,4.25,2,11,56,85
93,22,Nő,8,2.4,1.8,3,2,8,65,89
28,25,Nő,8,2.08,1.4,2.75,3,11,54,106
17,22,Nő,5,2.88,2,3.75,3,12,57,87
121,19,Férfi,6,1.7,1.4,2,2,2,61,85
34,20,Nő,7,2.17,1.6,2.75,2,6,56,65
136,22,Nő,8,1.57,1.4,1.75,1,12,52,114
180,21,Nő,7,1.66,1.33,2,3,8,54,91
122,21,Nő,8,2.12,2,2.25,0,1,43,73
217,23,Férfi,4,1.52,1.8,1.25,0,0,40,83
153,19,Nő,8,1.6,1.2,2,1,5,52,60
125,23,Nő,8,1.82,1.4,2.25,2,5,49,77
190,24,Nő,9,1.57,1.4,1.75,0,6,58,105
203,22,Nő,7,1.98,1.2,2.75,3,11,57,91
183,20,Nő,8,1.25,1,1.5,0,5,40,86
223,21,Nő,7,1.6,1.2,2,3,3,64,80
142,21,Nő,10,2,1.75,2.25,3,7,60,110
95,23,Nő,8,1.95,1.4,2.5,0,1,44,89
150,20,Nő,8,1.75,2,1.5,0,5,60,89
221,21,Férfi,8,2.75,3,2.5,1,1,44,80
168,20,Férfi,8,2.02,1.8,2.25,3,11,56,99
