crt_1;crt_2;crt_3;id;sex;age;crt_all
10;50;24;216;Nő;23;0
0.1;100;24;181;Nő;20;0
0.05 euró;5 perc;47 nap;261;Nő;19;3
5 cent;5 perc;47;153;Nő;21;3
0.10 euró;1 óra 40 perc;24 nap;64;Nő;21;0
0.05;0.25;47;66;Férfi;21;2
5 centbe kerül a labda.;100 percbe telik.;47 nap alatt növik be a tó felét.;326;Nő;22;2
5 cent;5;47;127;Nő;20;3
5 cent;100 perc;47;236;Nő;24;2
0.05;5;47;56;Férfi;23;3
0.05;5;47;332;Férfi;20;3
10 cent;100 perc;47 nap;223;Nő;22;1
0.1 euró;100 perc;6.9;348;Nő;22;0
0.5;5;47;192;Nő;20;2
5 cent;5 perc;47 nap;51;Nő;19;3
10 cent;100 percbe;24;271;Nő;18;0
10 cent;100 perc;24 nap;99;Nő;19;0
0.10;100;47;227;Nő;21;1
0.05;5 perc;47;100;Nő;21;3
0.05;5;47;145;Nő;19;3
0.10;100;24;296;Férfi;20;0
0.10 euro;500 perc;24;204;Nő;20;0
0,5 euró;2000;47;30;Nő;20;1
0.1;200;24;83;Nő;21;0
10 cent;100 perc;10 nap;289;Férfi;20;0
5 cent;5 perc;47 nap;284;Nő;21;3
0.05;100;26;155;Nő;20;1
0.05;5 perc;47;132;Nő;19;3
0.10 euró;100 perc;24 nap;310;Nő;21;0
0.10 euró;100 percbe telik;24 napba;274;Nő;20;0
0.05 €;5;47;176;Nő;20;3
0.10 euró;100 perc;47 nap;38;Nő;24;1
0.5;5;47;280;Nő;21;3
0.05;50;12;210;Nő;20;1
0.1;5;47;92;Férfi;24;2
0.05 euró;100 perc;36 nap;278;Nő;19;1
0.05 euró;100;47;26;Nő;19;2
0.05;5;47;42;Férfi;20;3
1.05;5;47;55;Férfi;22;2
0.10;NA;NA;347;Férfi;24;0
0.05;5;47;74;Férfi;22;3
5;5;47;88;Nő;20;3
10 cent;100;32;300;Nő;20;0
1.05;5;47;267;Férfi;21;2
0.05;5;47;175;Nő;21;3
0.1;100;24;17;Nő;21;0
1.05;5;7;59;Nő;22;1
0,10 euro;100;47;238;Férfi;21;1
0.5;5;47;154;Nő;19;3
0.05;100;47;107;Férfi;23;2
0.5;1;47;245;Nő;24;2
5 cent;5 perc;47 nap;71;Férfi;22;3
0.05;5;47;144;Férfi;21;3
0.1;5;47;86;Nő;19.333333333333332;2
0.1;100;12;264;Nő;20;0
0.10;5;24;39;Férfi;22;1
0.05;100;24;234;Nő;21;1
0.05 euró a labda ára;100 percébe telik;47 nap alatt növik be a tó felét;146;Nő;18;2
10;100p;24;224;Nő;22;0
10 cent;8 óra 20 perc;24 nap;170;Nő;20;0
10;100;47;319;Férfi;22.666666666666668;1
A labda 0.05 euróba kerül.;100;24 nap;69;Nő;21;1
0.05;5;47;341;Nő;21;3
0.05 euró;5 perc;47 nap;111;Nő;23;3
10 cent;100 perc;5.4 nap;32;Nő;20;0
10cent;100;24;218;Nő;23;0
5 cent;5 percbe;47 nap alatt;313;Nő;20;3
50cent;100perc;24nap;101;Nő;21;0
0.10;100;47;43;Nő;20;1
10;100;12;126;Nő;22;0
0.05 euróba ( 5 centbe);500 percébe;25;265;Nő;20;1
0.5;5 perc;5;230;Nő;22;2
50 cent;5 perc;47 nap;73;Nő;21;2
5 cent;5 perc;47 nap;339;Férfi;20;3
5 cent;100 perc;24;120;Nő;23;1
0,10;100;47;243;Nő;23;1
0.5;100;24;315;Nő;20;0
0.10;5;24;260;Nő;20;1
0,05;100;24;102;Férfi;21;1
0.05;5;47;292;Nő;21;3
